Time,Huaxian,Xianyang,Zhangjiashan
1986/10,2.2097664,1.191888,0.3925584
1986/11,1.988928,1.070928,0.40611456
1986/12,0.5008176,0.6117984,0.05837184
1987/01,0.9278496,0.6692544,0.12202272
1987/02,0.68054688,0.57672,0.140184
1987/03,1.381752,0.7626528,0.41821056
1987/04,3.0345408,1.8077472,0.24516864
1987/05,6.536592,3.7882944,0.53271648
1987/06,13.697856,8.210592,0.9476352
1987/07,7.8655968,5.161536,1.33154496
1987/08,9.4325472,4.4054496,0.88435584
1987/09,2.8721088,1.5231456,0.50236416
1987/10,1.934712,0.810864,0.32934816
1987/11,3.1021056,1.088208,0.46977408
1987/12,1.0464336,0.6235488,0.0533088
1988/01,0.64649664,0.530496,0.07922016
1988/02,1.0621152,0.6129216,0.19287936
1988/03,2.8956096,1.5300576,0.61829568
1988/04,4.8359808,2.6123904,0.70384032
1988/05,6.1275744,3.675888,0.9908784
1988/06,2.69148096,1.88068608,0.615816
1988/07,15.6741696,8.4184704,3.8094624
1988/08,25.472448,11.02896,8.0856576
1988/09,9.647424,5.2662528,1.8225216
1988/10,11.204352,5.406048,1.3608
1988/11,5.0956128,2.6350272,0.59701536
1988/12,0.8938944,0.80136,0.07699104
1989/01,1.8618336,1.1407392,0.24228288
1989/02,2.1190464,1.126224,0.4183488
1989/03,5.056992,2.8159488,0.9307872
1989/04,6.702048,4.798656,0.62474976
1989/05,7.920288,4.3697664,0.98244576
1989/06,4.1954112,2.9519424,0.48603456
1989/07,8.37952128,4.3987968,1.9171296
1989/08,10.2374496,5.0658912,2.22836832
1989/09,10.008576,5.725728,1.6343424
1989/10,5.15808,2.9023488,0.73315584
1989/11,3.6565344,2.0639232,0.82859328
1989/12,0.939168,0.9705312,0.10120896
1990/01,1.2146112,0.8077536,0.07090848
1990/02,1.944432,0.9856512,0.34118496
1990/03,4.538592,2.6531712,0.9114336
1990/04,5.312736,3.6376992,0.54598752
1990/05,10.168416,6.06096,1.3466304
1990/06,4.1857344,2.4597216,0.5419872
1990/07,14.7111552,9.0353664,2.42808192
1990/08,9.3201408,4.9676544,2.76253632
1990/09,11.52144,6.93792,3.5857728
1990/10,9.57312,6.019488,2.1622464
1990/11,4.4493408,2.808,1.00717344
1990/12,1.4154912,1.245456,0.16828128
1991/01,1.6253568,1.1938752,0.17358624
1991/02,2.401056,1.6603488,0.534816
1991/03,3.6192096,2.3502528,0.78159168
1991/04,6.152544,3.36096,0.8172576
1991/05,4.46472,3.251232,1.30319712
1991/06,12.817872,6.3013248,3.13041888
1991/07,1.8200592,0.9848736,1.18361952
1991/08,3.4975584,2.0738592,0.86173632
1991/09,4.4467488,2.1504096,0.8387712
1991/10,2.5489728,1.5108768,0.32999616
1991/11,0.63049536,0.8960544,0.0545616
1991/12,0.7403616,0.8032608,0.13023936
1992/01,1.744416,0.9100512,0.1829088
1992/02,0.7211808,0.6883488,0.10558944
1992/03,1.92488832,1.0151136,0.51662016
1992/04,2.04717888,1.18368,0.28638144
1992/05,1.94999616,1.6959456,0.25557984
1992/06,4.19521248,2.706048,1.01088864
1992/07,3.508704,2.809728,0.94410144
1992/08,14.222304,6.4947744,7.10282304
1992/09,14.903136,7.4798208,1.7179776
1992/10,6.82992,6.250176,1.2288672
1992/11,4.9502016,2.8254528,0.5863536
1992/12,1.023408,0.898128,0.04783968
1993/01,1.626912,1.1117952,0.1417392
1993/02,2.4513408,1.5136416,0.44646336
1993/03,3.368304,2.55744,0.8499168
1993/04,5.2577856,3.3780672,0.58823712
1993/05,6.4362816,4.1930784,0.54667008
1993/06,5.232384,4.0683168,0.23151744
1993/07,13.9874688,8.7962976,2.15904096
1993/08,7.75872,3.849552,2.3378112
1993/09,5.37408,3.4457184,1.0853568
1993/10,5.0998464,3.1509216,1.1556864
1993/11,3.73248,2.4152256,0.585792
1993/12,1.3192416,1.1399616,0.07483104
1994/01,0.7938432,0.7159968,0.08875008
1994/02,1.33056,0.8411904,0.30292704
1994/03,2.485296,1.6196544,0.72682272
1994/04,5.2132032,2.5775712,0.9757584
1994/05,1.88014176,1.5393888,0.28534464
1994/06,3.0576096,2.1879936,0.88260192
1994/07,8.540208,2.78208,3.5152704
1994/08,2.98793664,0.88764768,2.18219616
1994/09,2.31984,0.976752,0.84400704
1994/10,2.9610144,1.2946176,0.49808736
1994/11,3.4886592,1.8051552,0.5311872
1994/12,2.394576,0.8690112,0.28282176
1995/01,1.1329632,0.48622464,0.11952576
1995/02,0.35659008,0.09759744,0.05234976
1995/03,0.8200224,0.10399104,0.05241888
1995/04,1.5378768,0.43980192,0.16538688000000001
1995/05,0.83027808,0.17182368,0.131976
1995/06,0.3796416,0.097403904,0.114696
1995/07,1.459720224,0.228707712,1.38584736
1995/08,5.5538784,1.09104192,4.5236448
1995/09,2.497824,0.94826592,0.98480448
1995/10,1.9093536,0.90523872,0.49788
1995/11,0.95755392,0.5193504,0.40506048
1995/12,0.07156512,0.18915552,0.05245344
1996/01,0.38719296,0.179496,0.0366336
1996/02,0.763776,0.2215296,0.11993184
1996/03,0.14905728,0.17195328,0.05975424
1996/04,1.05795936,0.47863008,0.14693184
1996/05,1.104192,0.50156064,0.23433408
1996/06,4.2752448,2.14316064,0.8746704
1996/07,7.21579968,0.90635328,6.23935872
1996/08,6.97808736,1.03406112,3.46660992
1996/09,5.2080192,1.5130368,1.25064
1996/10,3.4954848,1.4593824,0.8033472
1996/11,6.215616,2.0962368,0.9422784
1996/12,1.3689216,0.5424192,0.14300928
1997/01,0.7412256,0.3936384,0.04158432
1997/02,0.9051264,0.3645216,0.19888416
1997/03,2.4474528,0.6594912,0.62581248
1997/04,3.2757696,1.5056928,0.50649408
1997/05,2.3300352,1.0781856,0.3354912
1997/06,0.31784832,0.15783552,0.15431904
1997/07,1.20412224,0.18081792,1.52966016
1997/08,2.35490112,0.1654992,1.81766592
1997/09,1.42657632,0.7573824,0.33848928
1997/10,1.07552448,0.28836864,0.23464512
1997/11,0.25743744,0.12312,0.1081728
1997/12,0.491616,0.097632,0.16574112
1998/01,0.6321024,0.07349184,0.09297504
1998/02,0.22383648,0.05609088,0.11496384
1998/03,0.95066784,0.09255168,0.4424976
1998/04,2.139264,0.5349888,0.20077632
1998/05,6.7525056,3.115584,1.990656
1998/06,1.88081568,0.734616,0.69990048
1998/07,9.36827424,5.61891168,1.57781088
1998/08,11.1003264,4.3703712,1.3136256
1998/09,3.6072864,1.5665184,0.41433984
1998/10,2.6211168,0.9941184,0.38199168
1998/11,1.0340352,0.417744,0.12007872
1998/12,0.5096736,0.23179392,0.03830112
1999/01,0.7204896,0.18117216,0.04831488
